size_pop,max_iter,prob_mut,best_distance,time
26.0,100.0,0.1,2525.7928201663954,0.3339047431945801
26.0,100.0,0.25,2312.5353311167296,0.3426334857940674
26.0,100.0,0.5,2355.6445535697494,0.37967514991760254
26.0,100.0,1.0,2640.773041126404,0.4519984722137451
26.0,250.0,0.001,4057.0507169121643,0.8012492656707764
26.0,250.0,0.0025,3975.1425457420523,0.7948038578033447
26.0,250.0,0.01,3826.043327718787,0.8270061016082764
26.0,250.0,0.1,2330.673690254599,0.8376257419586182
26.0,250.0,0.25,2298.2039834849497,0.8820974826812744
26.0,250.0,0.5,2133.6391935598685,0.9457898139953613
26.0,250.0,1.0,2133.6391935598685,1.097895860671997
50.0,5.0,0.001,5343.741322656338,0.03754925727844238
50.0,5.0,0.0025,5158.206484735498,0.039632320404052734
50.0,5.0,0.01,5380.21158135604,0.04279160499572754
50.0,5.0,0.1,5243.528404291754,0.040880680084228516
50.0,5.0,0.25,4596.922222086878,0.046207427978515625
50.0,5.0,0.5,4835.894101304642,0.04788088798522949
50.0,5.0,1.0,5178.949422007941,0.0637662410736084
50.0,10.0,0.001,3977.146592316225,0.0779414176940918
50.0,10.0,0.0025,4301.761275610011,0.08364605903625488
50.0,10.0,0.01,4224.588068195995,0.08082342147827148
50.0,10.0,0.1,4198.273922721192,0.08771300315856934
50.0,10.0,0.25,4543.548480332814,0.09272599220275879
50.0,10.0,0.5,4486.818441506269,0.09488987922668457
50.0,10.0,1.0,4643.672217846408,0.09737348556518555
50.0,25.0,0.001,4879.764147939247,0.1629505157470703
50.0,25.0,0.0025,3800.952351436933,0.160874605178833
50.0,25.0,0.01,4416.269625902035,0.15931177139282227
50.0,25.0,0.1,3846.088698928912,0.17345237731933594
50.0,25.0,0.25,3214.3507523506155,0.1882023811340332
50.0,25.0,0.5,3304.9822452333387,0.17766571044921875
50.0,25.0,1.0,3708.7827522261246,0.21880292892456055
50.0,50.0,0.001,4442.499011369407,0.31917381286621094
50.0,50.0,0.0025,3661.4766028439913,0.31346583366394043
50.0,50.0,0.01,3551.0814560863632,0.310452938079834
50.0,50.0,0.1,3109.8954892329916,0.33398938179016113
50.0,50.0,0.25,2674.5503652341645,0.3374772071838379
